ranking,昵称,抖音号,number of followers,gender,profession of the broadcaster,profession,Number of viewers,人数峰值,sales volume,销售额/万,value of sales,Word of mouth,Live broadcast times,Total products,Total duration of live broadcast
753,妃鱼朱朱,woshizhuzhu,200934,male,健康,22,39324,812,3258,796.30 ,7.96 ,4.76,23,4929,4天13时29分49秒
754,晓董服饰(6号早8点上新),WeiXin108126,1177607,female,穿搭,4,53724,3161,3.5w,793.60 ,7.94 ,4.98,53,89,6天13时35分2秒
755,贞贞SUZZIN裙子卖掉了,HeyGir666,157098,female,生活,5,242937,6084,6.5w,793.30 ,7.93 ,4.84,17,73,2天23时53分2秒
756,娘娘小号（晚6点轻奢包包专场不见不散！）,1167655,332908,female,穿搭,4,221769,4405,11.9w,793.20 ,7.93 ,4.80,11,388,1天19时8秒
757,博滴旗舰店,Yus5136,129582,female,种草,2,26105,474,6.5w,793.00 ,7.93 ,1.96,32,8,21天6分18秒
758,张皓轩s,zhanghaoxuan,668718,female,美妆,6,37087,1257,10.9w,792.40 ,7.92 ,4.95,41,38,4天7时37分23秒
759,恩施市小资female人服饰,V18986816276,888140,female,穿搭,4,99718,2939,6.0w,791.00 ,7.91 ,4.79,98,321,21天1时7分35秒
760,华家那羊绒female装旗舰店,HJN888866,48958,female,穿搭,4,24127,760,1.4w,791.00 ,7.91 ,4.99,39,148,9天1时56分26秒
761,稻草人官方账号,MEXCIAN1981,1357756,female,穿搭,4,105031,3238,6.5w,790.60 ,7.91 ,1.62,74,175,15天12时26分59秒
762,桔夕female表,hzas0044,516987,female,宠物,24,23099,960,1024,789.00 ,7.89 ,4.75,103,661,22天17时47分29秒
763,婷婷的日常穿搭（7号早8点开播,TingTing980806,457780,female,穿搭,4,83824,2444,9.6w,788.80 ,7.91 ,4.99,27,216,3天19时20分52秒
764,淘只大表哥郭总9-24点,186953044,269962,male,时尚,0,9956,1014,1080,787.20 ,7.87 ,4.65,143,1253,16天3时58分12秒
765,灵子-8号东瀛美妆,MX_lingzi,512621,female,穿搭,4,53330,4194,5.8w,786.20 ,7.86 ,4.99,24,518,3天7时47分33秒
766,娜家家居,1783390875,509485,female,种草,2,348329,12568,13.5w,785.80 ,7.86 ,4.88,31,305,4天4时55分20秒
767,艾黎female装,1113838333,517331,female,穿搭,4,80517,1735,3.7w,783.00 ,7.83 ,4.58,28,155,5天4时13分20秒
768,桔夕晴晴(高颜值腕表),hzas0033,99538,female,种草,2,12451,852,879,782.50 ,7.83 ,4.38,150,716,27天8时30分3秒
769,续吉服饰,XA160222,179827,female,穿搭,4,111135,4440,10.3w,781.90 ,7.82 ,4.93,18,549,3天15时47分52秒
770,天天好物局,TiantianHaowuju,21063,female,种草,2,44537,19172,1.2w,781.70 ,7.82 ,4.95,24,144,2天9时54分38秒
771,歌扬美妆工作室,GAOJIE0520,693902,male,时尚,0,62875,17475,16.9w,780.10 ,7.80 ,4.98,52,79,5天5时39分56秒
772,李若彤,liruotong494,7948590,female,明星,3,2802861,66019,11.1w,780.00 ,7.80 ,4.22,4,95,22时8分10秒
773,赵包包服饰,213277088,511309,female,穿搭,4,292772,4479,6.1w,779.00 ,7.79 ,4.90,14,61,2天12时27分53秒
774,路易卡迪（包包日记）,louiscardy_a,473789,female,种草,2,118389,3444,4.7w,778.90 ,7.79 ,4.98,26,93,5天21时48分13秒
775,达芙妮工厂直播账号,Daphne9988,273658,female,穿搭,4,232696,11165,6.6w,777.20 ,7.77 ,1.96,30,181,4天17时15秒
776,帕罗官方旗舰店,pl880066,106503,female,穿搭,4,50137,1385,1.7w,777.00 ,7.77 ,1.96,62,135,11天7时13秒
777,认真少female_颜九（7月8号夏季出行专场）,117101861,8922432,female,美妆,6,651170,9819,15.2w,776.30 ,7.76 ,4.85,5,209,1天11时1分44秒
778,谢杭峰®️,xiehangfeng,206927,male,科技,1,42874,26389,36.7w,775.40 ,7.75 ,4.84,9,40,21时57分9秒
779,墨香吟（刀特书画院）,DTshuhua3,86584,female,文学艺术,16,42256,3669,1.3w,775.20 ,7.75 ,4.86,47,1785,13天2时47分38秒
780,阮仕珍珠官方旗舰店,ruanshizhenzhu,65835,female,时尚,0,43226,1275,2.8w,774.80 ,7.75 ,4.67,32,712,6天9时20分1秒
781,LVK品牌直播间,xiaofengyx159,92898,female,美妆,6,26352,5267,4.9w,774.10 ,7.74 ,1.86,27,9,10天2时8分56秒
782,艳子吖,yanziya1017,6546498,female,生活,5,82479,16031,17.1w,773.00 ,7.73 ,4.65,165,144,5天19时3分58秒
783,石之异彩,848550184,143188,female,时尚,0,59038,4764,5.5w,772.10 ,7.72 ,4.64,88,7867,10天21时55分58秒
784,马思颖很OK,siying8686,240443,female,生活,5,33734,1781,5.9w,771.70 ,7.72 ,4.75,52,75,5天4时31分16秒
785,百变鑫衣服饰,Jingjingxinyi,554287,female,穿搭,4,197779,5947,13.3w,771.40 ,7.71 ,1.66,36,179,22天18时9分23秒
786,百年扁氏艾康优选店,bainianbianshi09,301052,female,种草,2,23143,1999,4.1w,770.20 ,7.70 ,4.99,44,22,16天8时38分19秒
787,经典韩服装店,jingdianhanf,133304,female,穿搭,4,76237,2200,8.9w,769.70 ,7.70 ,4.99,34,267,7天19时6分50秒
788,海鲜female孩张可爱,13521b,1156775,female,美食,10,36187,2027,5.7w,768.60 ,7.69 ,4.92,43,32,2天20时44分15秒
789,乐町female装旗舰店,ledinledin123,121631,female,穿搭,4,48793,1172,2.2w,768.10 ,7.68 ,4.93,77,379,13天8时19分29秒
790,温州左右品质female鞋,dy1mn2ueygqzc,158595,female,穿搭,4,150995,14221,11.3w,766.60 ,7.67 ,4.92,36,302,2天15时8分16秒
791,樱夫人定制（周一新品直播）,YFR66,621739,female,穿搭,4,113888,3345,4.5w,766.30 ,7.66 ,4.97,39,74,5天34分4秒
792,上海凯梵 female装批发(招客服),kaifan8899,632383,female,穿搭,4,131577,5494,9.0w,762.50 ,7.63 ,4.90,62,239,10天18时24分32秒
793,三言优选,sanyan19,288773,male,穿搭,4,139704,3863,19.5w,757.80 ,7.58 ,4.93,23,498,4天3时50分17秒
794,蓝月亮旗舰店,1651080356,257005,female,生活,5,177128,15982,9.9w,755.20 ,7.55 ,4.97,32,55,13天21时50分4秒
795,鑫主流male装穿搭,xzl789789,974857,male,穿搭,4,208098,9561,23.1w,751.60 ,7.52 ,4.98,34,113,11天15时13分18秒
796,若楠服饰,GFR2001,153610,female,穿搭,4,101716,3886,2.2w,754.30 ,7.54 ,4.79,28,311,6天2时56分11秒
797,郭郭MIMC（哈诺服饰）,cherry7723,851906,female,穿搭,4,106611,2881,7.7w,753.80 ,7.54 ,4.73,22,818,4天21时48分8秒
798,翠掌门珠宝,asd168168888,609846,female,时尚,0,35833,1189,7261,753.20 ,7.53 ,4.48,30,6414,25天21时37分2秒
799,一分缘珠宝,PLBcuibaoge,70461,female,时尚,0,29119,765,4561,751.30 ,7.51 ,4.45,35,6823,30天9时1分37秒
800,拜哥呀（带你逆袭）,17104071,523087,female,健康,22,32758,2310,3.8w,750.20 ,7.50 ,4.13,65,71,6天3时18分11秒
801,七个柚子,youzi970709,2005487,female,美食,10,328199,9985,23.9w,749.10 ,7.49 ,4.71,21,231,3天7时4分7秒
802,多燕瘦官方品牌旗舰店,Dyesoo1,139479,female,健康,22,12118,1377,3.1w,748.30 ,7.48 ,4.12,57,34,11天7分18秒
803,东帝黄金珠宝,shipaituandu,153591,male,时尚,0,49301,10415,4.0w,748.00 ,7.48 ,4.83,28,679,1天14时58分27秒
804,沈凌,193929448,991391,male,明星,3,334513,15510,5.8w,747.70 ,7.48 ,4.46,7,361,2天3时47分42秒
805,美人鱼female装大牌,130556975,1611626,female,穿搭,4,61252,3827,8.7w,747.20 ,7.47 ,4.75,83,11667,25天11时25分6秒
806,温柔瑶服饰,ywr23222,251145,female,种草,2,154284,4901,16.1w,716.80 ,7.17 ,4.83,34,2176,4天11时11分42秒
807,小魏总珠宝（7月5号下午3点30分开播）,xiaoweizongz25,32755,male,,31,33075,1231,3.3w,745.90 ,7.46 ,5.00,22,3992,6天3时6分16秒
808,广州微姐服饰（招主播）,151_020_77779,246373,female,生活,5,150563,4930,14.0w,743.30 ,7.43 ,4.79,28,563,5天5时39分32秒
809,董姐姐一号店,JIE123156789000,341187,female,穿搭,4,269658,10699,28.2w,742.80 ,7.43 ,4.85,22,218,5天41分8秒
810,美彤形体礼仪,124656673,3230927,female,时尚,0,352444,31364,14.9w,741.20 ,7.41 ,4.70,75,123,8天14时9分58秒
811,伊自尚大码female装,1301897447,1976271,female,穿搭,4,60787,2378,6.1w,740.70 ,7.41 ,4.77,110,242,24天9时15分37秒
812,金六福严选,YYFCHJ,38535,male,时尚,0,59325,25530,7.3w,740.00 ,7.40 ,4.01,13,186,1天21分44秒
813,小妮海鲜,xiaoni99999,1741314,female,美食,10,42408,4772,5.7w,739.70 ,7.40 ,4.96,87,61,4天17时19分26秒
814,TATAfemale装店,xhc77788888,336638,female,穿搭,4,68511,1745,6.3w,739.70 ,7.40 ,4.98,28,428,3天3时26分59秒
815,至家HOMMEY旗舰店,zhijia_app,234073,male,家居,19,100451,6889,11.6w,738.50 ,7.39 ,4.62,42,169,4天10时33分44秒
816,小众茗茶,dayufan,197886,male,生活,5,9282,433,2.1w,737.80 ,7.38 ,4.96,30,232,5天5时29分17秒
817,颖姐百货店,Anise.li1211,442034,female,种草,2,96256,5034,29.5w,735.60 ,7.36 ,4.99,44,804,6天1时36分11秒
818,MIMC-梦露（町然穿搭）,dylrxizqsfti,386208,female,穿搭,4,101860 ,3294,5.7w,735.60 ,7.36 ,1.76,34,286,6天11时35分17秒
819,老高的小孕妇7月11早上七点粉丝感恩回馈,125548326,9362507,female,情感,9,354066,12456,19.2w,735.00 ,7.35 ,4.76,18,354,2天18时44分59秒
820,杭州隐悟male装,yinwufushi01,349415,female,穿搭,4,60217,2763,10.9w,734.30 ,7.34 ,4.99,26,65,11天1时26秒
821,南油薇薇female装（高薪招募主播）,oh3157,419504,female,穿搭,4,144751,4983,6.1w,733.70 ,7.34 ,1.6,35,109,5天1时17分16秒
822,COGI高姿,830612610,321126,female,美妆,6,32309,480,6.1w,733.20 ,7.33 ,4.83,35,47,13天20时16分2秒
823,评价珠宝,pingjiazhubao88,73313,female,时尚,0,27791,1300,4.9w,732.70 ,7.33 ,4.89,41,11112,9天1时54分8秒
824,南通爱哩屋品牌旗舰店,JD6699123,575769,female,种草,2,112394,3533,4.9w,732.10 ,7.32 ,4.47,44,69,12天9时29分6秒
825,旗袍印象,339171588,951367,male,穿搭,4,132023,2290,10.3w,731.90 ,7.32 ,4.85,48,172,19天1时15分27秒
826,轻奢female王雯雯（上午6.30开播),tuq888,675821,female,穿搭,4,62199,11348,3.0w,731.80 ,7.32 ,1.68,77,735,9天12时8分28秒
827,芒果梓铭定制female装,Yzm140304,395410,female,穿搭,4,120552,3142,8.7w,731.10 ,7.31 ,4.82,22,208,3天19时33分
828,北极绒美体内衣旗舰店,BH200828,128108,female,穿搭,4,76516,5261,11.8w,730.90 ,7.31 ,1.76,72,9,11天20时40分28秒
829,小小如,9422358,4961194,female,网红美女,7,681303,77892,8.3w,730.60 ,7.31 ,3.97,19,178,2天12时39分30秒
830,星选服饰MontVoo（40万粉丝回馈）,mty88fz,441329,female,穿搭,4,66119,939,7.0w,728.70 ,7.29 ,4.98,30,122,11天7时44分11秒
831,多燕瘦小纤棒 拍1发6+2,daxiongdeduo62,19852,female,健康,22,17544,711,2.2w,728.60 ,7.29 ,4.40,14,33,3天36分56秒
832,酒仙网官方旗舰店,920471863,299619,female,知识资讯,23,28667,4214,3.8w,727.30 ,7.27 ,4.65,138,456,16天2时33分22秒
833,君嘉莉,779988j,249471,male,穿搭,4,95412,5163,6.5w,726.10 ,7.26 ,4.98,51,116,8天9时8分23秒
834,小易原创棉麻female装,FF199_51012729,265171,female,穿搭,4,599922,1678,11.5w,725.10 ,7.25 ,4.74,12,126,21天19时44分51秒
835,灵美人（今晚7点播）,583412814,5146852,female,网红美女,7,178511,15867,13.8w,724.80 ,7.25 ,4.89,40,97,5天13时15分58秒
836,张老师和小胖丫头们,121887364,390449,female,健康,22,18478,845,2.8w,724.70 ,7.25 ,4.98,31,243,3天15时45秒
837,深圳南油乐姐真丝优选,lelesummer,69707,female,,31,111360,4474,3.7w,724.30 ,7.24 ,4.85,24,238,3天7时32分23秒
838,丫丫工厂店—雅思诚品牌专场,yaya2100,685138,female,穿搭,4,92636,2116,6.9w,723.80 ,7.24 ,5.00,29,219,5天11时36分18秒
839,红布林二手奢侈品（性价比特供）,hongbulinzb2,63951,female,时尚,0,5442,385,1415,722.80 ,7.23 ,3.80,133,12151,26天19时6分16秒
840,祖传养发,66054213799,229870,female,生活,5,13992,1084,7.3w,722.80 ,7.23 ,4.14,92,23,22天4时35分45秒
841,御泥坊,unifon01,566832,female,美妆,6,108494,2499,5.7w,722.40 ,7.22 ,1.96,54,45,19天6时51分17秒
842,太后珠宝,YHFCZB888,10764,female,,31,6872,686,5985,722.40 ,7.22 ,4.25,111,5064,24天18时7分27秒
843,雄哥珠宝,xionggehuangjin,28540,female,时尚,0,24301,2040,1.2w,721.30 ,7.21 ,4.21,37,3598,8天7时16分37秒
844,德巧,deqiao02,1570133,female,生活,5,9385,558,1.6w,721.10 ,7.21 ,4.93,60,6207,9天4时1分54秒
845,致知ZHIZHI,ZHIZHI2021_,38222,female,,31,51363,666,1.3w,720.70 ,7.21 ,5.00,30,101,7天9时24分12秒
846,李然珠宝（6号休息，7号品传家宝）,Liranjewelry333,20871,female,时尚,0,29362,3184,2.7w,720.20 ,7.20 ,4.97,18,1780,3天10时21分42秒
847,初为717,Chuwei77,385380,female,穿搭,4,60317,1589,6.3w,719.60 ,7.20 ,4.80,76,721,18天11时53分40秒
848,怡美衣人旗舰店,H66616777,671609,female,穿搭,4,75372,1730,1.9w,719.10 ,7.19 ,1.76,75,88,11天1时56分36秒
849,福多多珠宝2号,fdd23149,84127,male,时尚,0,47236,1010,1.6w,718.80 ,7.19 ,4.32,34,13766,25天6时10分5秒
850,五个female博士健康美肤,Youngdoctor,279956,female,美妆,6,8974,555,1.3w,718.80 ,7.19 ,4.94,76,16,23天1时56分51秒
851,妃鱼杨子,yangzijingxuan,191721,female,情感,9,47724,1067,7947,718.40 ,7.18 ,4.78,21,2463,4天18时25分34秒
852,品众绿松石,lvsongshilijie,150702,female,生活,5,26357,1111,8409,715.60 ,7.16 ,4.88,41,13073,25天3时26分29秒
853,广州喜妙服装(招主播),dyij5rwsujsw,1315295,female,穿搭,4,292972,15495,12.9w,715.20 ,7.15 ,4.53,26,47,3天5时54分52秒
854,淘你所爱（定制female装）,ANNA12580,1874911,female,穿搭,4,37479,1615,5.8w,711.60 ,7.12 ,4.33,77,94,17天7时16分18秒
855,小仙炖鲜炖燕窝,2159524455,68964,female,美食,10,20580,474,2429,714.50 ,7.15 ,4.88,31,10,20天54分44秒
856,言宸原创female装批发,Yanchen_13,174021,female,穿搭,4,258551,5016,7.6w,713.60 ,7.14 ,4.85,29,119,5天12时59分52秒
857,亿蒽female装工作室,wsyen888,691670,female,穿搭,4,61268,1984,3.1w,713.50 ,7.14 ,4.93,50,102,5天15时9分48秒
858,鸭鸭威立专卖店,YAYAweili8888,211537,male,穿搭,4,74954,5392,2.3w,713.00 ,7.13 ,4.99,30,63,3天22时33分1秒
859,大脸酥服装工厂,161922366,1276117,female,穿搭,4,160526,5619,15.9w,712.30 ,7.12 ,4.98,37,155,3天13时4分12秒
860,MICHNA KASS,Christine_Bag,82297,male,时尚,0,116987,7833,4.3w,710.50 ,7.11 ,4.86,31,25,3天28分53秒
861,猫宁逆袭记,maoningnixij,4822913,female,体育,18,53294,4775,3.7w,710.40 ,7.10 ,4.46,71,59,5天8时26分37秒
862,盛蒂尼时尚饰品（工厂店）,xccp6886,703904,male,时尚,0,304966,17899,69.0w,710.10 ,7.10 ,4.88,58,581,4天15时42分8秒
863,伊姐珠宝,Eva_1857,18617,female,,31,27128,18067,3.0w,709.30 ,7.09 ,4.09,10,686,1天17时56分14秒
864,姿美堂严选直播中,zimeitang09,60525,female,生活,5,18166,188,3.4w,709.30 ,7.09 ,4.84,33,34,13天22时5分19秒
865,慕兔穿搭日志,mutu1314520,379960,female,穿搭,4,126686,5128,8.6w,709.00 ,7.09 ,4.71,53,166,7天1时15分16秒
866,洛哥严选 正在直播,lluo9528,118296,female,穿搭,4,62190,1611,4.1w,708.90 ,7.09 ,4.99,39,582,9天2时38分49秒
867,林氏木业官方直播间,linshimuye2007,304566,male,家居,19,36814,686,5814,708.30 ,7.08 ,4.54,49,180,14天16时52分51秒
868,叶允❤7月3号回归送1888台手机,YY.SQ520,784344,female,剧情,17,63015,7204,13.5w,707.00 ,7.07 ,4.90,23,191,3天5时22分57秒
869,柒牌male装官方旗舰店（招主播私）,qixiansheng1979,328057,male,穿搭,4,53558,1671,6.7w,701.60 ,7.02 ,1.16,95,144,16天1时7秒
870,钱多多真人秀,qddstyle88,1103730,female,穿搭,4,114073,6115,3.4w,704.00 ,7.04 ,4.88,49,1825,5天8时43分30秒
871,COGI高姿官方旗舰店,cogi2021,208921,female,美妆,6,55408,745,4.5w,703.90 ,7.04 ,4.82,32,73,21天11时10分54秒
872,杭州小燕子female装,xys123666,261825,female,穿搭,4,37039,3587,8.7w,703.90 ,7.04 ,1.56,231,101,16天17分53秒
873,NEIWAI内外官方旗舰店,610549848,90490,female,,31,20801,856,2.8w,702.50 ,7.03 ,4.98,63,102,15天18时38分42秒
874,户外休闲衣姐,195556017,607559,female,穿搭,4,145342,4097,13.3w,702.40 ,7.02 ,4.91,27,59,5天13时23分
875,DRWCYS线上专卖,10268771885,232607,female,穿搭,4,119260,27760,7.3w,700.80 ,7.01 ,4.85,34,82,5天11时36分31秒
876,爽兒定制,XS555667,518081,female,穿搭,4,387375,7691,13.4w,700.50 ,7.01 ,4.92,28,84,1天16时21分28秒
877,大刀砍玉石珠宝,fangzhou8788,60823,male,时尚,0,33840,491,1.7w,700.30 ,7.00 ,4.85,31,10121,10天1时17分37秒
878,亿茶小叶,YC66588,269766,male,生活,5,84364,7522,4.1w,699.70 ,7.00 ,4.81,30,114,10天1时55分6秒
879,贤哥有好货(耐克AJ专场),mm1755555,2503268,female,生活,5,391045,17995,6.1w,699.00 ,6.99 ,4.77,17,189,2天1时9分15秒
880,ZMMY(今晚8点大上新❤️),m18110887058,1307270,female,穿搭,4,131888,3537,9.9w,698.90 ,6.99 ,4.77,28,134,4天1时1分13秒
881,大卫的蜜蜡,TXZB8888,72152,male,时尚,0,70314,1588,2.1w,698.20 ,6.98 ,5.00,20,5497,6天14时43分24秒
882,小五拼团,dy29my0ms1a0,140957,male,种草,2,115939,21114,16.1w,698.10 ,6.98 ,3.61,37,159,2天15时20分6秒
883,推荐官一喜-大号明天早上6:00直播,yxtjg10086,84249,female,穿搭,4,82230,3013,3.9w,697.90 ,6.98 ,1.96,9,209,1天6时11分15秒
884,企鹅妈妈,Qiema,1034029,female,母婴育儿,15,124130,2934,6.1w,697.70 ,6.98 ,4.78,17,460,6天9时36分57秒
885,思念小仙female,50287533532,304779,female,种草,2,52026,2601,7.0w,697.10 ,6.97 ,3.63,34,7,21天5时27分16秒
886,晶咕家～阿晶不吃惊,2188707619,314540,female,穿搭,4,92815,972,4.3w,697.10 ,6.97 ,4.80,27,293,5天23时54分57秒
887,天宫院小吃,tuibianbatuibian,3116480,male,美食,10,274337,18741,18.1w,695.90 ,6.96 ,4.48,118,182,14天6时24分14秒
888,衣木茶原创female装,55122969767,187411,female,穿搭,4,211671,7307,10.4w,695.70 ,6.96 ,4.85,45,20,18天1时39分54秒
889,低调家female装,dynkdykou6du,750509,female,穿搭,4,51773,1281,6.5w,695.50 ,6.96 ,4.95,56,78,12天1时5分53秒
890,LILY商务时装旗舰店,1058270180,68633,female,穿搭,4,34937,1708,2.7w,695.00 ,6.95 ,4.92,55,270,6天5时32分33秒
891,GAONAS珠宝,GAONAS1,109740,female,种草,2,16336,801,1.2w,691.70 ,6.92 ,4.97,48,98,6天7时20分1秒
892,YFN羽绒服严选,YFN888666333,1584994,female,穿搭,4,77666,10103,6.3w,693.20 ,6.93 ,1.67,158,235,23天21时22分37秒
893,欣心珠宝💎,jianxiansiqiZB,25076,male,,31,26454,5751,1.1w,693.20 ,6.93 ,4.41,34,620,2天4时52分6秒
894,混血王子卢卡斯,hunxuewangzi85,1921083,male,生活,5,115451,17139,13.6w,691.50 ,6.92 ,4.77,58,46,3天12时59分53秒
895,凯西莫迪服饰（下午2点直播）,Cls165359,983129,female,穿搭,4,205243,2619,9.1w,689.70 ,6.90 ,4.95,31,301,7天10时42分43秒
896,美娜精品female装,M20201206,615908,female,穿搭,4,169589,4845,14.8w,689.00 ,6.89 ,4.75,58,57,21天22时8分31秒
897,澜石淘客服装,hshqjpxgylvr,466734,male,生活,5,83394,1484,11.7w,688.30 ,6.88 ,4.83,65,356,23天6时43分33秒
898,咔咔不是大咖,xinshangkaka,25216,female,穿搭,4,11471,147,679,687.10 ,6.87 ,4.49,25,2327,5天12时19分53秒
899,达菲时尚,1643653637,148385,female,,31,86966,1602,2.0w,687.10 ,6.87 ,4.92,39,118,7天20时15分38秒
900,优形鸡胸肉,iShape,151860,female,美食,10,36340,1042,5.1w,686.90 ,6.87 ,5.00,30,23,17天3时29分40秒
901,班长珠宝（每天早上7:00开播）,syzb688,19988,female,,31,21715,1044,1.2w,685.90 ,6.86 ,4.93,24,2397,6天1分19秒
902,缅甸寻宝,MDXB888,152974,female,时尚,0,87357,1615,2960,684.80 ,6.85 ,4.88,39,7,24天22时44分38秒
903,罗拉家二小姐,LOORA666666,317747,female,搞笑,14,342975,5487,8.7w,683.40 ,6.83 ,4.89,4,385,20时49分43秒
904,河南你华哥李妈妈8号安踏运动专场,Lihua922,7452287,male,搞笑,14,457942,33708,13.0w,682.70 ,6.83 ,4.65,12,127,1天14时22分56秒
905,心悦翡翠,xinyuefeicui,15585,female,,31,13507,389,8960,682.70 ,6.83 ,4.54,57,1014,19天10时32分36秒
906,江苏尚将军,ai112488653,114649,male,,31,166310,28167,31.2w,682.10 ,6.82 ,4.99,26,101,1天20时35分53秒
907,可心的围巾,dyxe63epu1kn,338274,female,穿搭,4,41825,1529,1.6w,682.00 ,6.82 ,5.00,19,1074,3天10时52分43秒
908,安妮夫妇（早上5点见/每天）,boyaanni,86863,female,穿搭,4,63628,1786,2.5w,681.90 ,6.82 ,4.94,26,136,5天9时47分52秒
909,爱匠珠宝（19:00开播）,aijiang12345,212129,male,时尚,0,114669,2362,3.8w,681.50 ,6.82 ,4.82,29,3041,6天19时17分30秒
910,佩佩珠宝,peipeiy1234567,306331,female,时尚,0,52066,1735,3.6w,681.50 ,6.82 ,4.95,42,290,7天25分23秒
911,徽凡female装,DYZ19798888,1823776,female,穿搭,4,108223,1606,11.9w,681.20 ,6.81 ,4.84,61,77,18天8时49分50秒
912,永多手镯,ydsz888888,187083,male,生活,5,16332,392,3763,679.50 ,6.80 ,4.81,68,3068,13天21时36分25秒
913,冠军韩线上专营店,66668888xnf,106835,female,穿搭,4,119533,5116,8.5w,679.10 ,6.79 ,4.89,21,53,2天7时29分8秒
914,秒宝珠宝（乔帮主）,Miaobao1013,131081,male,时尚,0,68001,2364,4.9w,676.50 ,6.77 ,4.99,14,7042,3天2时16分59秒
915,麦子的形象美学,maizigao,417989,female,生活,5,22860,1323,1.7w,676.10 ,6.76 ,4.99,53,207,5天19时50分39秒
916,广东姐弟皮具（晚12点）,mbb3331,102818,male,生活,5,73697,13527,4.0w,675.80 ,6.76 ,4.54,31,90,2天20时37分28秒
917,贾大小姐-星煊文化,CD88888801,101833,female,穿搭,4,131106,1897,3.5w,675.50 ,6.76 ,4.97,26,241,8天6时8分13秒
918,十上珠宝官方旗舰店,Tenplus88888888,105004,female,时尚,0,179083,3728,3.5w,675.10 ,6.75 ,4.69,23,2091,6天38分24秒
919,MIOHVEL KCPS,MIOHVELKCPS,167381,female,穿搭,4,162935,4301,2.5w,671.90 ,6.72 ,4.92,28,61,5天14时30分1秒
920,大杨珠宝严选,94865599,118375,female,时尚,0,32304,2525,3.2w,673.50 ,6.74 ,4.95,27,3030,4天21时23分30秒
921,聚商大牌服饰,HYX889999,207367,female,生活,5,62594,1626,6.7w,673.50 ,6.74 ,4.75,52,4210,7天6时16分49秒
922,海澜之家品牌旗舰店,HLA_6666,682528,male,穿搭,4,101055 ,8981,9.8w,673.10 ,6.73 ,4.91,58,217,10天13时57分50秒
923,毛妮LADIESFIRST,79716138,296771,female,穿搭,4,76857,1116,4.5w,672.50 ,6.73 ,1.62,29,269,4天7时17分10秒
924,圆脸酥服装工厂,dy4mt01jhvy7,739295,female,穿搭,4,222025,3332,13.1w,671.10 ,6.71 ,4.79,32,613,7天16时16分13秒
925,曼妙梓麻系列服装批发,zeq780824,548551,female,穿搭,4,60262,1423,7.1w,668.60 ,6.69 ,4.82,151,192,20天5时58分7秒
926,玉迪珠宝2,JDZB6688,219896,male,时尚,0,77739,1913,2.3w,667.90 ,6.68 ,4.70,83,28845,20天1时47分33秒
927,贵妃臻品,guifeizhenpin,331318,female,情感,9,30079,2875,2.6w,667.80 ,6.68 ,4.83,28,2200,3天20时19分6秒
928,红布林白菜精选,hongbulin6,12406,female,,31,6490,415,1670,667.50 ,6.68 ,4.03,121,12006,27天1时50分12秒
929,芳子轻奢female装工厂（星期天不开播哦）,1226135116,392162,female,穿搭,4,51865,2596,5.3w,667.10 ,6.67 ,4.79,28,244,3天17时31分37秒
930,金六福荣耀（黄金根据地）,jinliufurong17,104621,male,,31,49437,4193,4.9w,667.00 ,6.67 ,4.16,44,5414,3天21时41分43秒
931,DangerousPeople,2247429335yn,187362,female,穿搭,4,16603,930,4.8w,666.80 ,6.67 ,4.80,60,178,20天20分7秒
932,芮姿曼female装旗舰店（羽绒服源头工厂）,ruizimanyrf,397723,female,穿搭,4,72167,1661,7.1w,666.20 ,6.66 ,1.66,140,139,17天12时31分10秒
933,鑫蕾服装工作室,xinlei8888.,538177,female,穿搭,4,247518,5350,16.9w,666.20 ,6.66 ,1.86,27,302,1天21时1分6秒
934,杰顺优选,shunai888,318761,female,种草,2,52978,8703,9.6w,666.00 ,6.66 ,4.71,31,15,7天5时34分50秒
935,优吉童装（每天8点开播）,youjitongzhuang,1232139,female,母婴育儿,15,169937,6992,12.9w,663.50 ,6.64 ,4.68,52,176,20天14分9秒
936,宝洁旗舰店,PGChina1988,127631,female,种草,2,73724,13160,6.5w,661.80 ,6.62 ,4.95,31,152,15天13时1分43秒
937,尚衣衣female装,quanshangkj,377154,female,种草,2,62901,2519,5.6w,661.80 ,6.62 ,4.98,34,293,6天18时26分50秒
938,小發喵female鞋,xfmnx88888888,310774,female,穿搭,4,109319,6858,5.1w,661.20 ,6.61 ,4.84,27,30,5天22时17分4秒
939,张火火（小号开播实力宠粉）,Zhanghuo888,163063,female,美妆,6,78587,6313,7.4w,660.10 ,6.60 ,5.00,28,86,5天2时34分47秒
940,蒋菲菲Evad（今晚7点45直播）,jff1124,1278806,female,网红美女,7,116451,3212,2.4w,660.10 ,6.60 ,4.90,32,115,3天12时7分25秒
941,KONKA康佳按摩椅,KONKA8866,54345,male,种草,2,19145,5166,2591,660.10 ,6.60 ,4.14,48,30,11天21时12分51秒
942,乐一品质female装（招主播）,ZLINLUCK,1200001,female,穿搭,4,404792,6281,15.7w,659.60 ,6.60 ,4.75,25,112,5天11时31分37秒
943,爱依服female装官方旗舰店,ief520,1180224,female,穿搭,4,345525,4152,7.5w,659.10 ,6.59 ,4.48,74,826,21天21时59分47秒
944,邦妮严选,2226365319,477181,female,种草,2,330742,10972,4.2w,659.30 ,6.59 ,1.96,6,147,12时10分31秒
