ranking,昵称,抖音号,number of followers,gender,profession of the broadcaster,profession,Number of viewers,人数峰值,sales volume,销售额/万,value of sales,Word of mouth,Live broadcast times,Total products,Total duration of live broadcast
67,叶可可🐳7号，难得高货,keermia,725715,female,穿搭,4,206121,8271,15.8w,1521.60 ,15.22 ,4.97,15,691,2天17时44分31秒
68,辉灿珠宝,88888889hc,267457,male,时尚,0,119191,1637,2.3w,4446.50 ,44.47 ,4.97,31,4041,27天12时7分1秒
69,妃鱼夏妍,Feiyuxiayan,781150,female,种草,2,334241,8293,1.5w,4421.50 ,44.22 ,4.72,22,6512,5天7时36分57秒
70,lovemimius游鹿鹿,Lovemimius,1180613,female,穿搭,4,316393,10575,60.8w,4347.70 ,43.48 ,4.99,25,855,3天18时43分45秒
71,中国黄金ChinaGold专卖店,ChinaGoldNo1,1887978,female,时尚,0,798813,15487,45.8w,4318.20 ,43.18 ,4.78,45,1177,10天8时51分49秒
72,城丽珠宝（7号早上6:30洱海直播）,yxg9688,237224,female,时尚,0,45580,2169,4.3w,4306.50 ,43.07 ,4.99,28,3455,7天9时45分57秒
73,ojaer 鸥纪儿,ojaer,1750152,female,穿搭,4,257115,11133,22.5w,4210.10 ,42.10 ,4.75,29,1186,3天23时37分54秒
74,桔夕二手奢侈品,liangliangbabt,366309,male,种草,2,255208,4014,6912,4198.20 ,41.98 ,1.67,48,6130,29天7时36分2秒
75,cici茜,qianjie518518,1442807,female,网红美女,7,349302,15733,34.9w,4193.20 ,41.93 ,4.98,19,123,3天18时29分23秒
76,周大生珠宝严选,zhoudashengzhibo,790014,female,时尚,0,688721,19974,14.6w,4116.10 ,41.16 ,4.60,24,188,9天22时19分44秒
77,不二珠宝(7.8号晚6点半直播）,shidai1,130643,male,时尚,0,122270,4193,4.2w,4114.20 ,41.14 ,4.80,12,2566,3天11时32分33秒
78,上海车王female装（7月7号晚上7:00见）,Tinasummer,1132969,female,穿搭,4,852308,13134,16.6w,4094.30 ,40.94 ,4.83,19,347,5天51分3秒
79,金六福荣耀精选,Jsp5888,246084,male,时尚,0,124504,5031,24.3w,4057.20 ,40.57 ,4.57,81,17743,13天16时32分58秒
80,音儿YINER旗舰店,1996YINER,713616,female,穿搭,4,82318,1655,4.8w,4015.20 ,40.15 ,4.94,71,538,14天8时1分47秒
81,评价珠宝二号店,pjzb222,267775,female,音乐,13,84648,2265,16.7w,4000.10 ,40.00 ,4.95,33,7336,7天23时7分22秒
82,雅琴 👸🏻7.9日11:50开播,yaqin0602,534591,female,美妆,6,340455,7630,18.0w,3991.90 ,39.92 ,4.81,13,143,3天2时4分28秒
83,李晨nic,15971668,1682671,male,明星,3,1469350,14760,28.5w,3966.10 ,39.66 ,4.91,7,514,2天18时7分39秒
84,岳老板-今天下午7点粉丝生日会,17173685,25250760,male,生活,5,2506139,79701,48.6w,3943.60 ,39.44 ,4.15,11,244,1天23时54分45秒
85,STACCATO思加图官方旗舰店,staccato,427248,female,穿搭,4,185623,1631,7.0w,3899.70 ,39.00 ,4.89,83,249,18天15时58分38秒
86,胖艳珠宝,pyzb668,105969,female,时尚,0,102171,2561,3.9w,3895.50 ,38.96 ,4.92,23,3342,5天13时53分24秒
87,廷姐叨叨叨（下午1点开播),xinshangjianding,171031,female,种草,2,83405,2285,7968,3858.10 ,38.58 ,4.34,27,5073,5天19时39分26秒
88,Linda姐香云纱,YiXiSilk,276309,female,穿搭,4,56198,1214,3.8w,3816.00 ,38.16 ,4.99,89,332,25天22时4分33秒
89,iQOO官方旗舰店,iQOO2233,253744,female,科技,1,155112,4366,2.0w,3814.80 ,38.15 ,4.71,35,53,22天13时7分17秒
90,黄小敏●DOKKY高定female装,HXMDOKKY,740241,female,穿搭,4,212052,19474,44.9w,3776.80 ,37.77 ,4.93,23,1685,2天19时44分38秒
91,煤炭江湖刘帮主,121545892,6835301,male,搞笑,14,671256,28564,41.6w,3769.80 ,37.70 ,4.80,22,246,3天4时56分43秒
92,花西子Florasis,florasis,2685656,female,美妆,6,369805,11340,22.6w,3718.90 ,37.19 ,4.94,30,53,17天21时16分32秒
93,冬姐精选-,dongjie520666,611738,female,穿搭,4,109208,3520,5.0w,3713.40 ,37.13 ,4.89,18,833,3天6时11分9秒
94,嘉一JIAYI (每早8:30直播),666.JIAYI.666,382738,female,穿搭,4,249128,3756,6.8w,3673.20 ,36.73 ,4.92,27,233,8天11时6分21秒
